AddressLine1,AddressLine2,Reseller City,ResellerID,ResellerSort,AccountNumber,Reseller Name,State or Province,Reseller Country,CountrySort,Reseller Contact,Reseller Address,Post Code,Reseller Email
Eastern Beltway Center,,Las Vegas,29531,244,AW00029531,Remarkable Bike Store,Nevada,United States,1,Cory Booth,"Eastern Beltway Center, Las Vegas, Nevada, 89106, United States",89106,
Southgate Mall,,Missoula,29532,557,AW00029532,Road-Way Mart,Montana,United States,1,James Bailey,"Southgate Mall, Missoula, Montana, 59801, United States",59801,
Horizon Outlet Center,,Holland,29533,269,AW00029533,Small Cycle Store,Michigan,United States,1,Douglas Baldwin,"Horizon Outlet Center, Holland, Michigan, 49423, United States",49423,
790 Shelbyville Road,,Saint Matthews,29534,227,AW00029534,Blue-Ribbon Bike Company,Kentucky,United States,1,Jennifer Bales,"790 Shelbyville Road, Saint Matthews, Kentucky, 40207, United States",40207,
48255 I-10 E. @ Eastpoint Blvd.,,Baytown,29535,415,AW00029535,Grand Bicycle Stores,Texas,United States,1,Wayne Banack,"48255 I-10 E. @ Eastpoint Blvd., Baytown, Texas, 77520, United States",77520,
6789 Warren Road,,Westland,29536,600,AW00029536,Kickstand Sellers,Michigan,United States,1,Robert Barker,"6789 Warren Road, Westland, Michigan, 48185, United States",48185,
956k North Wesleyan Blvd.,,Rocky Mount,29540,308,AW00029540,Lubricant and Grease Suppliers,North Carolina,United States,1,Adam Barr,"956k North Wesleyan Blvd., Rocky Mount, North Carolina, 27803, United States",27803,
Polaris Town Center,,Columbus,29543,102,AW00029543,Bike Boutique,Ohio,United States,1,Karel Bates,"Polaris Town Center, Columbus, Ohio, 43215, United States",43215,
99300 223rd Southeast,,Bothell,29545,619,AW00029545,Center Cycle Shop,Washington,United States,1,John Beaver,"99300 223rd Southeast, Bothell, Washington, 98011, United States",98011,
78025 E. Mercy Island Cswy,,Merritt Island,29549,138,AW00029549,Juvenile Sports Equipment,Florida,United States,1,Shane Belli,"78025 E. Mercy Island Cswy, Merritt Island, Florida, 32952, United States",32952,
567 Sw Mcloughlin Blvd,,Milwaukie,29550,135,AW00029550,Another Bicycle Company,Oregon,United States,1,Stanley Alan,"567 Sw Mcloughlin Blvd, Milwaukie, Oregon, 97222, United States",97222,
77993 Mentor Ave.,,Mentor,29551,211,AW00029551,Fourth Bike Store,Ohio,United States,1,Mason Bendixen,"77993 Mentor Ave., Mentor, Ohio, 44060, United States",44060,
Po Box 8035996,,Dallas,29553,383,AW00029553,Unsurpassed Bikes,Texas,United States,1,Edna Benson,"Po Box 8035996, Dallas, Texas, 75201, United States",75201,
997000 Telegraph Rd.,,Southfield,29554,410,AW00029554,Field Trip Inc,Michigan,United States,1,Payton Benson,"997000 Telegraph Rd., Southfield, Michigan, 48034, United States",48034,
675 East Ave.,,Warwick,29555,416,AW00029555,Tire Company,Rhode Island,United States,1,Max Benson,"675 East Ave., Warwick, Rhode Island, 02889, United States",02889,
25915 140th Ave Ne,,Bellevue,29559,41,AW00029559,Safe Cycles Shop,Washington,United States,1,Robert Bernacchi,"25915 140th Ave Ne, Bellevue, Washington, 98004, United States",98004,
Escondido,,Escondido,29560,85,AW00029560,Number 1 Supply,California,United States,1,Matthias Berndt,"Escondido, Escondido, California, 92025, United States",92025,
825 Coral Way,,Miami,29561,171,AW00029561,Industrial Supplies,Florida,United States,1,John Berry,"825 Coral Way, Miami, Florida, 33127, United States",33127,
5500 Grossmont Center Drive,,La Mesa,29562,22,AW00029562,Golf and Cycle Store,California,United States,1,Steven Brown,"5500 Grossmont Center Drive, La Mesa, California, 91941, United States",91941,
DeSouth Square,,Bradenton,29563,154,AW00029563,Front Runner Bikes,Florida,United States,1,Chris Bidelman,"DeSouth Square, Bradenton, Florida, 34205, United States",34205,
3065 Santa Margarita Parkway,,Trabuco Canyon,29565,511,AW00029565,World Bike Discount Store,California,United States,1,Jimmy Bischoff,"3065 Santa Margarita Parkway, Trabuco Canyon, California, 92679, United States",92679,
Redford Plaza,,Redford,29566,364,AW00029566,Historic Bicycle Sales,Michigan,United States,1,Mae Black,"Redford Plaza, Redford, Michigan, 48239, United States",48239,
Corporate Office,,El Segundo,29568,414,AW00029568,Coalition Bike Company,California,United States,1,Donald Blanton,"Corporate Office, El Segundo, California, 90245, United States",90245,
2505 Gateway Drive,,North Sioux City,29569,381,AW00029569,Travel Systems,South Dakota,United States,1,Linda Burnett,"2505 Gateway Drive, North Sioux City, South Dakota, 57049, United States",57049,
9903 Highway 6 South,,Houston,29570,305,AW00029570,Grease and Oil Products Company,Texas,United States,1,Michael Blythe,"9903 Highway 6 South, Houston, Texas, 77003, United States",77003,
67 Rainer Ave S,,Renton,29571,248,AW00029571,Moderately-Priced Bikes Store,Washington,United States,1,Gabriel Bockenkamp,"67 Rainer Ave S, Renton, Washington, 98055, United States",98055,
2025 Greenwood Ct,,Mcdonough,29572,399,AW00029572,Eighty Toy Stores,Georgia,United States,1,Corinna Bolender,"2025 Greenwood Ct, Mcdonough, Georgia, 30253, United States",30253,
72502 Eastern Ave.,,Bell Gardens,29573,491,AW00029573,Economy Bikes Company,California,United States,1,Luis Bonifaz,"72502 Eastern Ave., Bell Gardens, California, 90201, United States",90201,
2500 North Stemmons Freeway,,Dallas,29574,393,AW00029574,Third Bike Store,Texas,United States,1,Randall Boseman,"2500 North Stemmons Freeway, Dallas, Texas, 75201, United States",75201,
23456 Calumet St,,Clearwater,29578,617,AW00029578,Widget Bicycle Specialists,Florida,United States,1,David Bradley,"23456 Calumet St, Clearwater, Florida, 33755, United States",33755,
789 West Alameda,,Westminster,29579,103,AW00029579,Initial Bike Company,Colorado,United States,1,Cornelius Brandon,"789 West Alameda, Westminster, Colorado, 80030, United States",80030,
4251 First Avenue,,Seattle,29580,11,AW00029580,Latest Sports Equipment,Washington,United States,1,Richard Bready,"4251 First Avenue, Seattle, Washington, 98104, United States",98104,
Saltonstall Parkway,,East Haven,29581,251,AW00029581,Modern Bike Store,Connecticut,United States,1,Sara Breer,"Saltonstall Parkway, East Haven, Connecticut, 06512, United States",06512,
Bldg. 9n/99298,,Redmond,29582,175,AW00029582,Raw Materials Inc,Washington,United States,1,Ted Bremer,"Bldg. 9n/99298, Redmond, Washington, 98052, United States",98052,
4255 East Lies Road,,Carol Stream,29583,535,AW00029583,Lots of Bikes Storehouse,Illinois,United States,1,Alan Brewer,"4255 East Lies Road, Carol Stream, Illinois, 60188, United States",60188,
25136 Jefferson Blvd.,,Culver City,29584,495,AW00029584,Futuristic Bikes,California,United States,1,Walter Brian,"25136 Jefferson Blvd., Culver City, California, 90232, United States",90232,
Washington Square,,Portland,29585,611,AW00029585,Parcel Express Delivery Service,Oregon,United States,1,Christopher Bright,"Washington Square, Portland, Oregon, 97205, United States",97205,
Holiday Village Mall,,Great Falls,29588,408,AW00029588,Nonskid Tire Company,Montana,United States,1,Willie Brooks,"Holiday Village Mall, Great Falls, Montana, 59401, United States",59401,
250000 Eight Mile Road,,Detroit,29590,459,AW00029590,Metro Bike Works,Michigan,United States,1,Jo Brown,"250000 Eight Mile Road, Detroit, Michigan, 48226, United States",48226,
250880 Baur Blvd,,Saint Louis,29591,392,AW00029591,Best o' Bikes,Missouri,United States,1,Robert Brown,"250880 Baur Blvd, Saint Louis, Missouri, 63103, United States",63103,
9975 Union St.,,Waterbury,29592,232,AW00029592,Painters Bicycle Specialists,Connecticut,United States,1,Kevin Browne,"9975 Union St., Waterbury, Connecticut, 06710, United States",06710,
Noah Lane,,Chicago,29593,378,AW00029593,Client Discount Store,Illinois,United States,1,Mary Browning,"Noah Lane, Chicago, Illinois, 60610, United States",60610,
89950 Castleton Corner,,Indianapolis,29594,70,AW00029594,Eastside Sporting Goods,Indiana,United States,1,Dave Browning,"89950 Castleton Corner, Indianapolis, Indiana, 46204, United States",46204,
One Equinox Way,,Sunrise,29597,446,AW00029597,Racks and Security Systems,Florida,United States,1,Dick Brummer,"One Equinox Way, Sunrise, Florida, 33322, United States",33322,
22555 Paseo De Las Americas,,San Diego,29598,330,AW00029598,Mechanical Products Ltd.,California,United States,1,Michael Brundage,"22555 Paseo De Las Americas, San Diego, California, 92102, United States",92102,
4781 Highway 95,,Sandpoint,29599,482,AW00029599,Commendable Bikes,Idaho,United States,1,Shirley Bruner,"4781 Highway 95, Sandpoint, Idaho, 83864, United States",83864,
678 Eastman Ave.,,Midland,29600,398,AW00029600,Online Bike Sellers,Michigan,United States,1,June Brunner,"678 Eastman Ave., Midland, Michigan, 48640, United States",48640,
Highland Lakes Shopping Ctr.,,Orlando,29604,541,AW00029604,Hobby Store,Florida,United States,1,Edward Buensalido,"Highland Lakes Shopping Ctr., Orlando, Florida, 32804, United States",32804,
Arcadia Crossing,,Phoenix,29605,125,AW00029605,Professional Cycle Store,Arizona,United States,1,Megan Burke,"Arcadia Crossing, Phoenix, Arizona, 85004, United States",85004,
2502 Evergreen Ste E,,Everett,29606,413,AW00029606,Fifth Bike Store,Washington,United States,1,Karren Burkhardt,"2502 Evergreen Ste E, Everett, Washington, 98201, United States",98201,
25264 E. 260th,,Euclid,29610,402,AW00029610,Curbside Universe,Ohio,United States,1,Deanna Buskirk,"25264 E. 260th, Euclid, Ohio, 44119, United States",44119,
25306 Harvey Rd.,,College Station,29616,19,AW00029616,Sheet Metal Manufacturing,Texas,United States,1,Barbara Calone,"25306 Harvey Rd., College Station, Texas, 77840, United States",77840,
S Sound Ctr Suite 25300,,Lacey,29617,8,AW00029617,Thorough Parts and Repair Services,Washington,United States,1,Lindsey Camacho,"S Sound Ctr Suite 25300, Lacey, Washington, 98503, United States",98503,
6225 Glenway Ave.,,Cincinnati,29619,493,AW00029619,Mechanical Sports Center,Ohio,United States,1,DeeDee Cameron,"6225 Glenway Ave., Cincinnati, Ohio, 45202, United States",45202,
25800 Gallitin Rd.,,Nashville,29621,492,AW00029621,Mountain Emporium,Tennessee,United States,1,David Campbell,"25800 Gallitin Rd., Nashville, Tennessee, 37203, United States",37203,
2507 Pacific Ave S,,Tacoma,29622,129,AW00029622,Metro Cycle Shop,Washington,United States,1,Henry Campen,"2507 Pacific Ave S, Tacoma, Washington, 98403, United States",98403,
Lakewood Mall,,Lakewood,29623,441,AW00029623,Outdoor Sporting Goods,California,United States,1,Chris Cannon,"Lakewood Mall, Lakewood, California, 90712, United States",90712,
25631 Florida Mall Ave.,,Orlando,29624,43,AW00029624,Tread Industries,Florida,United States,1,Joseph Cantoni,"25631 Florida Mall Ave., Orlando, Florida, 32804, United States",32804,
3333 Micro Drive,,Millington,29626,423,AW00029626,Tandem Bicycle Store,Tennessee,United States,1,Jun Cao,"3333 Micro Drive, Millington, Tennessee, 38054, United States",38054,
5967 W Las Positas Blvd,,Pleasanton,29631,361,AW00029631,Rural Department Store,California,United States,1,Jane Carmichael,"5967 W Las Positas Blvd, Pleasanton, California, 94566, United States",94566,
253950 N.E. 178th Place,,Woodinville,29632,322,AW00029632,Sports Commodities,Washington,United States,1,Jovita Carmody,"253950 N.E. 178th Place, Woodinville, Washington, 98072, United States",98072,
5998 E Lorain,,Oberlin,29633,346,AW00029633,Riverside Company,Ohio,United States,1,Steve Carnes,"5998 E Lorain, Oberlin, Ohio, 44074, United States",44074,
Ward Parkway Center,,Kansas City,29635,372,AW00029635,Responsible Bike Dealers,Missouri,United States,1,Rob Caron,"Ward Parkway Center, Kansas City, Missouri, 64106, United States",64106,
566 S. Main,,Cedar City,29636,386,AW00029636,Western Bike Supplies,Utah,United States,1,Andy Carothers,"566 S. Main, Cedar City, Utah, 84720, United States",84720,
12345 Sterling Avenue,,Irving,29637,69,AW00029637,Advanced Bike Components,Texas,United States,1,Donna Carreras,"12345 Sterling Avenue, Irving, Texas, 75061, United States",75061,
39933 Mission Oaks Blvd,,Camarillo,29638,553,AW00029638,Aerobic Exercise Company,California,United States,1,Rosmarie Carroll,"39933 Mission Oaks Blvd, Camarillo, California, 93010, United States",93010,
Park North Business Center,,Clarkston,29640,528,AW00029640,Distance Bikes,Georgia,United States,1,Pamela Carlson,"Park North Business Center, Clarkston, Georgia, 30021, United States",30021,
99040 California Avenue,,Sand City,29641,29,AW00029641,Westside Plaza,California,United States,1,Raul Casts,"99040 California Avenue, Sand City, California, 93955, United States",93955,
Foothills Mall,,Maryville,29642,215,AW00029642,Ultimate Bike Shop,Tennessee,United States,1,Elizabeth Catalano,"Foothills Mall, Maryville, Tennessee, 37801, United States",37801,
North 93270 Newport Highway,,Spokane,29643,141,AW00029643,Outstanding Cycles,Washington,United States,1,Matthew Cavallari,"North 93270 Newport Highway, Spokane, Washington, 99202, United States",99202,
558 S 6th St,,Klamath Falls,29645,187,AW00029645,Sports Merchandise,Oregon,United States,1,Andrew Cencini,"558 S 6th St, Klamath Falls, Oregon, 97601, United States",97601,
220 Mercy Drive,,Garland,29646,10,AW00029646,Fitness Toy Store,Texas,United States,1,Stacey Cereghino,"220 Mercy Drive, Garland, Texas, 75040, United States",75040,
Westside Plaza,,Nashua,29647,71,AW00029647,Casual Bicycle Store,New Hampshire,United States,1,Baris Cetinok,"Westside Plaza, Nashua, New Hampshire, 03064, United States",03064,
The Quad @ WestView,,Whittier,29650,585,AW00029650,Fitness Cycling,California,United States,1,Forrest Chandler,"The Quad @ WestView, Whittier, California, 90605, United States",90605,
99433 S. Greenbay Rd.,,Racine,29651,61,AW00029651,Good Bike Shop,Wisconsin,United States,1,Lee Chapla,"99433 S. Greenbay Rd., Racine, Wisconsin, 53182, United States",53182,
4660 Rodeo Road,,Santa Fe,29653,307,AW00029653,Thrilling Bike Tours,New Mexico,United States,1,Pei Chow,"4660 Rodeo Road, Santa Fe, New Mexico, 87501, United States",87501,
25 N State St,,Chicago,29654,323,AW00029654,This Area Sporting Goods,Illinois,United States,1,Yao-Qiang Cheng,"25 N State St, Chicago, Illinois, 60610, United States",60610,
9920 North Telegraph Rd.,,Pontiac,29655,311,AW00029655,Full-Service Bike Store,Michigan,United States,1,Nicky Chesnut,"9920 North Telegraph Rd., Pontiac, Michigan, 48342, United States",48342,
Indiana Factory Shops,,Daleville,29658,96,AW00029658,Grand Discount Store,Indiana,United States,1,Mike Choi,"Indiana Factory Shops, Daleville, Indiana, 47334, United States",47334,
7760 N. Pan Am Expwy,,San Antonio,29659,324,AW00029659,Genuine Bike Shop,Texas,United States,1,Ruth Choin,"7760 N. Pan Am Expwy, San Antonio, Texas, 78204, United States",78204,
Riverside,,Sherman Oaks,29660,156,AW00029660,Extreme Riding Supplies,California,United States,1,Anthony Chor,"Riverside, Sherman Oaks, California, 91403, United States",91403,
Edgewater Mall,,Biloxi,29661,275,AW00029661,Bike Rims Company,Mississippi,United States,1,Charles Christensen,"Edgewater Mall, Biloxi, Mississippi, 39530, United States",39530,
54254 Pacific Ave.,,Stockton,29662,486,AW00029662,Fleet Bikes,California,United States,1,Jill Christie,"54254 Pacific Ave., Stockton, California, 95202, United States",95202,
42500 W 76th St,,Chicago,29663,328,AW00029663,Local Hardware Factory,Illinois,United States,1,Alice Clark,"42500 W 76th St, Chicago, Illinois, 60610, United States",60610,
123 Union Square South,,New York,29664,326,AW00029664,Only Bikes and Accessories,New York,United States,1,Gina Clark,"123 Union Square South, New York, New York, 10007, United States",10007,
C/O Arrow Electronics,,Memphis,29667,315,AW00029667,Wonderful Bikes Inc.,Tennessee,United States,1,Kristine Cleary,"C/O Arrow Electronics, Memphis, Tennessee, 38103, United States",38103,
25269 Wood Dale Rd.,,Wood Dale,29668,611,AW00029668,Discount Bicycle Specialists,Illinois,United States,1,Connie Coffman,"25269 Wood Dale Rd., Wood Dale, Illinois, 60191, United States",60191,
P.O. Box 9005,,Endicott,29669,339,AW00029669,Famous Bike Sales and Service,New York,United States,1,Jeanette Cole,"P.O. Box 9005, Endicott, New York, 13760, United States",13760,
6055 Shawnee Industrial Way,,Suwanee,29672,551,AW00029672,Pedals Warehouse,Georgia,United States,1,Takiko Collins,"6055 Shawnee Industrial Way, Suwanee, Georgia, 30024, United States",30024,
25550 Executive Dr,,Elgin,29674,561,AW00029674,Westside Cycle Store,Illinois,United States,1,Scott Colvin,"25550 Executive Dr, Elgin, Illinois, 60120, United States",60120,
58 Teed Drive,,Randolph,29675,329,AW00029675,Wholesale Bikes,Massachusetts,United States,1,Aaron Con,"58 Teed Drive, Randolph, Massachusetts, 02368, United States",02368,
8525 Nw 17th St.,,Miami,29678,366,AW00029678,Superlative Bikes,Florida,United States,1,Stephanie Conroy,"8525 Nw 17th St., Miami, Florida, 33127, United States",33127,
25 Myrtle Beach,,Myrtle Beach,29681,420,AW00029681,Touring Services,South Carolina,United States,1,Patrick Cook,"25 Myrtle Beach, Myrtle Beach, South Carolina, 29577, United States",29577,
Pavillion @ Redlands,,Redlands,29682,428,AW00029682,Vehicle Shop,California,United States,1,Scott Cooper,"Pavillion @ Redlands, Redlands, California, 92373, United States",92373,
2540 Dell Range Blvd,,Cheyenne,29683,332,AW00029683,First Department Stores,Wyoming,United States,1,Eva Corets,"2540 Dell Range Blvd, Cheyenne, Wyoming, 82001, United States",82001,
99800 Tittabawasee Rd.,,Saginaw,29684,270,AW00029684,Grand Sport Boutique,Michigan,United States,1,Marlin Coriell,"99800 Tittabawasee Rd., Saginaw, Michigan, 48601, United States",48601,
99842 White Mill East,,Decatur,29685,217,AW00029685,Elemental Sporting Goods,Georgia,United States,1,Pamela Cox,"99842 White Mill East, Decatur, Georgia, 30030, United States",30030,
Factory Merchants,,Barstow,29686,357,AW00029686,Distinctive Store,California,United States,1,Jack Creasey,"Factory Merchants, Barstow, California, 92311, United States",92311,
399700 John R. Rd.,,Madison Heights,29688,452,AW00029688,Handy Bike Services,Michigan,United States,1,Grant Culbertson,"399700 John R. Rd., Madison Heights, Michigan, 48071, United States",48071,
750 Lakeway Dr,,Bellingham,29689,30,AW00029689,Friendly Bike Shop,Washington,United States,1,Scott Culp,"750 Lakeway Dr, Bellingham, Washington, 98225, United States",98225,
Sports Store At Park City,,Park City,29690,51,AW00029690,Fashionable Bikes and Accessories,Utah,United States,1,Conor Cunningham,"Sports Store At Park City, Park City, Utah, 84098, United States",84098,
7725 Luddington Lane,,Birmingham,29691,384,AW00029691,Extreme Toy Store,Alabama,United States,1,Jose Curry,"7725 Luddington Lane, Birmingham, Alabama, 35203, United States",35203,
42500 South Franklin Street,,Michigan City,29694,519,AW00029694,Professional Sporting Goods,Indiana,United States,1,Mike Danseglio,"42500 South Franklin Street, Michigan City, Indiana, 46360, United States",46360,
48995 Evergreen Wy.,,Everett,29695,140,AW00029695,Rugged Bikes,Washington,United States,1,Megan Davis,"48995 Evergreen Wy., Everett, Washington, 98201, United States",98201,
Mountain Square,,Upland,29696,262,AW00029696,Principal Bike Company,California,United States,1,Alvaro De Matos Miranda Filho,"Mountain Square, Upland, California, 91786, United States",91786,
4496 Barnes Crossing Rd.,,Tupelo,29697,603,AW00029697,One-Piece Handle Bars,Mississippi,United States,1,Jose De Oliveira,"4496 Barnes Crossing Rd., Tupelo, Mississippi, 38804, United States",38804,
6 Cotton Road,,Nashua,29701,7,AW00029701,Outdoor Equipment Store,New Hampshire,United States,1,Kirk DeGrasse,"6 Cotton Road, Nashua, New Hampshire, 03064, United States",03064,
Corporate Office,,Garland,29702,58,AW00029702,Paint Supply,Texas,United States,1,Aidan Delaney,"Corporate Office, Garland, Texas, 75040, United States",75040,
Incom Sports Center,,Ontario,29703,52,AW00029703,Preferred Bikes,California,United States,1,Stefan Delmarco,"Incom Sports Center, Ontario, California, 91764, United States",91764,
2561 Nw 8410th Avenue,,Miami,29704,80,AW00029704,Rally Day Mall,Florida,United States,1,Shawn Demicell,"2561 Nw 8410th Avenue, Miami, Florida, 33127, United States",33127,
Sapp Road West,,Round Rock,29708,293,AW00029708,Stationary Bikes and Stands,Texas,United States,1,Prashanth Desai,"Sapp Road West, Round Rock, Texas, 78664, United States",78664,
7009 Sw Hall Blvd.,,Tigard,29709,336,AW00029709,Successful Sales Company,Oregon,United States,1,Bev Desalvo,"7009 Sw Hall Blvd., Tigard, Oregon, 97223, United States",97223,
2560 E. Newlands Dr,,Fernley,29710,126,AW00029710,Downtown Hotel,Nevada,United States,1,Brenda Diaz,"2560 E. Newlands Dr, Fernley, Nevada, 89408, United States",89408,
"6555 Quince Road, Suite 2025",,Memphis,29715,2,AW00029715,Excellent Riding Supplies,Tennessee,United States,1,Andrew Dixon,"6555 Quince Road, Suite 2025, Memphis, Tennessee, 38103, United States",38103,
99000 S. Avalon Blvd. Suite 750,,Carson,29716,14,AW00029716,Farthermost Bike Shop,California,United States,1,Blaine Dockter,"99000 S. Avalon Blvd. Suite 750, Carson, California, 90746, United States",90746,
994 Sw Cherry Park Rd,,Troutdale,29717,273,AW00029717,Suburban Cycle Shop,Oregon,United States,1,Cindy Dodd,"994 Sw Cherry Park Rd, Troutdale, Oregon, 97060, United States",97060,
42522 Northrupp,,Fort Wayne,29718,254,AW00029718,Weekend Tours,Indiana,United States,1,John Donovan,"42522 Northrupp, Fort Wayne, Indiana, 46807, United States",46807,
225 South 314th Street,,Federal Way,29719,475,AW00029719,Racing Bike Outlet,Washington,United States,1,Patricia Doyle,"225 South 314th Street, Federal Way, Washington, 98003, United States",98003,
4635 S. Harrison Blvd.,,Ogden,29720,184,AW00029720,Utilitarian Sporting Goods,Utah,United States,1,Gerald Drury,"4635 S. Harrison Blvd., Ogden, Utah, 84401, United States",84401,
